time,12901,13217,16211,13745,46884,13435,25741,24002,total,guo1,guo2,guo3,guo4,guo5,guo6,guo7,guo8
2020/6/4 22:00,-0.583333333,-4.416666667,-2.416666667,-3.916666667,-2.833333333,-3,-4.5,2.6,-3.028671058,-17.5,-1.333333333,-11.66666667,-22.66666667,-24.41666667,-8.75,-20.91666667,1.833333333
2020/6/4 23:00,4.583333333,4.75,-7.583333333,-3.25,0.833333333,-3.083333333,8.833333333,6.4,1.051659563,1.66666666,-4.666666667,-7,3.833333333,15.16666667,12.66666667,6.916666667,-14.83333333
2020/6/5 0:00,-1.666666667,-2,-0.333333333,1.333333333,0,1.916666667,-1.75,-6.666666667,-0.574712644,-13.25,-8.583333333,-1.916666667,-12.66666667,-16.25,-39.83333333,-10.75,-9.166666667
2020/6/5 1:00,4.75,3.166666667,0.333333333,-3.5,-2.75,1.083333333,-22.83333333,1.333333333,-2.67816092,-6.58333333,-11.16666667,2.75,10.33333333,5.083333333,31.25,3.5,-6.25
2020/6/5 2:00,-13.75,-8.5,-1.916666667,0.5,-6.166666667,-0.833333333,6.083333333,-8.266666667,-3.832493865,7.5,12.25,-11.58333333,-15.25,16.25,12.58333333,13.75,8.083333333
2020/6/5 3:00,-0.833333333,4.25,-1.666666667,-1.5,0.25,-1.166666667,-7.25,3.044444444,-1.019934759,12.75,6.416666667,6.333333333,12.75,-0.833333333,11.08333333,4.5,9.083333333
2020/6/5 4:00,11.75,-3.083333333,-1.416666667,0.75,-0.416666667,2.333333333,15.16666667,2.138888889,3.31686828,5.5,2.083333333,5.25,3.5,-3.083333333,-20.83333333,-6,0.75
2020/6/5 5:00,0.25,9.5,9,0.583333333,-0.583333333,-1.166666667,3.666666667,10.16666667,3.927083333,9.75,20,28.66666667,20.58333333,22.58333333,26.41666667,19.41666667,27.75
2020/6/5 6:00,1.5,17.66666667,-5,-0.333333333,3.833333333,1.25,9.333333333,6.886363636,4.341447368,-18.08333333,-2.666666667,-10.41666667,-22.75,8.25,3.166666667,8.833333333,-10.83333333
2020/6/5 7:00,33.25,11.25,9.083333333,5.25,7.083333333,-0.083333333,-22.66666667,17.28030303,7.606469298,25.25,18.75,16.16666667,29.33333333,5.916666667,16,5.666666667,23.66666667
2020/6/5 8:00,27.16666667,23.08333333,5.416666667,14.33333333,15.76515152,3.416666667,1.083333333,29.83333333,15.29879386,32.58333333,31.41666667,33.33333333,25,-0.833333333,10.33333333,3.25,25.91666667
2020/6/5 9:00,2.333333333,10.25,20.83333333,20.83333333,15.90151515,15.33333333,21.41666667,10.25,14.35745614,7.41666667,10,6.333333333,13.83333333,13,5.25,8.5,10.91666667
2020/6/5 10:00,6.083333333,12.66666667,3.833333333,7.583333333,30.75,7.833333333,15.41666667,17.58333333,12.71875,9.08333333,7.416666667,8.583333333,7.333333333,-0.083333333,0.166666667,-1,5.5
2020/6/5 11:00,6.416666667,8.083333333,17.16666667,14.5,7.833333333,21,26.5,7.75,13.65625,13.8333333,8.916666667,9.916666667,10.25,12.08333333,5.666666667,14.33333333,10.83333333
2020/6/5 12:00,8.833333333,8.166666667,-13.75,21.33333333,9.75,6.333333333,7.916666667,0.583333333,6.145833333,9.8333334,8.333333333,15.58333333,13.75,9.166666667,8.583333333,9.333333333,3.583333333
2020/6/5 13:00,11.16666667,8.257575758,-1.833333333,-16.16666667,3.416666667,4,0.166666667,-0.916666667,0.584868421,13.5,9.166666667,10.08333333,12.91666667,9.25,8.333333333,8.083333333,15.16666667
2020/6/5 14:00,-2.083333333,2.159090909,9.416666667,-0.25,-11.16666667,5.166666667,7.583333333,-3.5,1.342214912,196.75,2.5,-7.25,-4.5,-2.333333333,3.25,-0.916666667,-5.416666667
2020/6/5 15:00,-8.083333333,-1.886363636,-4.583333333,-13.58333333,-21.58333333,37.16666667,19.25,-2.5,0.110416667,-216.5833334,-16.91666667,-7.583333333,-7.666666667,-10.91666667,-7.916666667,-8.25,-8.083333333
2020/6/5 16:00,-10.75,-14.53030303,1.333333333,-26,-20.83333333,-100.8333333,-11.66666667,-5.333333333,-23.1625,-4.75,-4,-14.5,-12.66666667,-3.25,-7.583333333,-6.333333333,-6
2020/6/5 17:00,-18.75,-18.33333333,-8.75,-19.25,-12.83333333,0.083333333,-2.166666667,-6.75,-10.84375,-9.5833333,-13.91666667,-10.5,-5.75,-7.916666667,-8.916666667,-7.25,-13.25
2020/6/5 18:00,-15,-20.5,-13.91666667,-7.333333333,-0.5,-0.083333333,17.58333333,-0.488095238,-7.000343407,-8.33333333,-14.25,-8.25,-12.75,-0.583333333,-3.833333333,-0.666666667,-8.166666667
2020/6/5 19:00,-0.583333333,-10.16666667,-17.25,0.583333333,-14.33333333,-0.083333333,1.75,-105.4285714,-8.879120879,-7.41666667,9.416666667,-5.333333333,-3,1.25,5.083333333,1.916666667,-2.75
2020/6/5 20:00,-4.5,-0.015151515,0.666666667,-0.083333333,-4.25,-0.75,-41.75,104.3333333,-2.431677019,-10.75,-8.75,-3.416666667,-4.583333333,-10,-15.41666667,-3.416666667,-2.166666667
2020/6/5 21:00,-15.41666667,-14.56818182,-3.333333333,1.416666667,-2.5,0.75,-12.75,-10.58333333,-5.324275362,-4.83333333,-4.583333333,5.833333333,8.166666667,-0.25,-17.75,0.083333333,-6.5
2020/6/5 22:00,-8.666666667,-12.5,0.416666667,-1.916666667,-2.666666667,0.666666667,-21.66666667,-21.83333333,-8.520833333,2,-23.83333333,-11.08333333,-12.91666667,-9.583333333,-3.833333333,-14.25,-7.916666667
2020/6/5 23:00,3.75,-12.58333333,-2.25,-2.25,-1.5,0.5,-9,-0.916666667,-3.03125,-3.25,-8.916666667,-13.58333333,-9.5,8.916666667,-16.91666667,-3.583333333,-6.416666667
2020/6/6 0:00,-23.58333333,-6.916666667,-2.583333333,-0.666666667,-1.303030303,-1.166666667,-4.75,-12.33333333,-6.385197368,-10.66666667,2.083333333,-2.833333333,-5.416666667,-20.91666667,-9.333333333,11.83333333,-2.666666667
2020/6/6 1:00,-7.666666667,-3.916666667,-3.75,1,-0.53030303,-0.333333333,4.25,-18.08333333,-3.906469298,-7.66666667,-7.083333333,-17.5,-15,-34.58333333,9.166666667,-58.16666667,-15.5
2020/6/6 2:00,-7.5,-0.833333333,0.583333333,0.5,1.25,-0.5,11,-1.666666667,0.949932796,-1.75,-14.41666667,-0.083333333,0.333333333,16,5.25,-26.5,-13.25
2020/6/6 3:00,-7.916666667,-0.416666667,-2.7,-0.333333333,-0.416666667,-0.583333333,-7.25,-14.16666667,-4.45813315,-32.41666666,-35.25,-34.25,-21.83333333,-11.91666667,-8.416666667,7.666666667,-29.58333333
2020/6/6 4:00,2.916666667,-7.666666667,-1.3,0.083333333,-0.916666667,1.583333333,1.666666667,-10.91666667,-1.649393731,-12.66666667,-1.333333333,-5.5,-9.833333333,-14.83333333,-11.58333333,8.583333333,-11.41666667
2020/6/6 5:00,-2.916666667,0.75,-0.3,-0.5,1.583333333,-0.916666667,-17,-1.833333333,-2.871882864,-0.5,1.666666667,0.25,-8.166666667,5.666666667,-16.41666667,3.416666667,3.416666667
